Sample Rate = 133.77777777777777
time,type,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,GyroCal,AccelCal,MagCal
0:00:00.239082,s,30,29,30,30,30,28,29,28,-0.03,0.07,9.80,0.00,0.00,0.13,0.95,0.00,-0.31,-0.31,0.00,0.01,0.06,3.00,0.00,0.00

0:00:00.244083,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.254086,s,30,30,30,30,32,29,30,29,-0.03,0.07,9.80,0.00,0.00,0.00,0.95,0.00,-0.31,-0.31,-0.01,0.01,0.05,3.00,0.00,0.00

0:00:00.259087,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.269107,s,30,30,29,29,30,28,29,28,-0.03,0.07,9.80,0.00,-0.06,0.00,0.95,0.00,-0.31,-0.31,0.01,-0.01,0.03,3.00,0.00,0.00

0:00:00.274109,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.284111,s,30,30,30,29,30,28,28,27,-0.03,0.07,9.80,0.00,0.00,0.00,0.95,0.00,-0.31,-0.31,0.00,-0.02,0.03,3.00,0.00,0.00

0:00:00.289112,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.299114,s,31,31,31,30,30,29,29,28,-0.03,0.07,9.80,0.00,0.06,0.00,0.95,0.00,-0.31,-0.31,-0.01,-0.02,0.07,3.00,0.00,0.00

0:00:00.304115,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.314118,s,30,30,30,30,30,28,29,28,-0.03,0.07,9.80,0.00,-0.06,0.00,0.95,0.00,-0.31,-0.31,-0.01,0.00,0.01,3.00,0.00,0.00

0:00:00.319119,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.329121,s,31,30,30,30,30,28,29,29,-0.03,0.07,9.80,0.06,0.00,0.00,0.95,0.00,-0.31,-0.31,0.00,-0.02,0.05,3.00,0.00,0.00

0:00:00.334122,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.344124,s,30,30,29,29,30,28,28,28,-0.03,0.07,9.80,0.00,0.00,0.00,0.95,0.00,-0.31,-0.31,0.00,-0.01,0.03,3.00,0.00,0.00

0:00:00.349125,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.359128,s,32,30,30,31,30,29,29,29,-0.03,0.07,9.80,0.00,0.00,0.00,0.95,0.00,-0.31,-0.31,0.00,0.01,0.06,3.00,0.00,0.00

0:00:00.364129,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.374131,s,30,29,31,30,30,28,29,28,-0.03,0.07,9.80,0.00,0.00,0.00,0.95,0.00,-0.31,-0.31,0.00,0.01,0.03,3.00,0.00,0.00

0:00:00.379132,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.389135,s,31,30,31,30,30,29,29,29,-0.03,0.07,9.80,0.00,0.00,0.00,0.95,0.00,-0.31,-0.31,-0.01,-0.01,0.03,3.00,0.00,0.00

0:00:00.394136,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.404138,s,30,29,29,29,30,28,28,28,-0.03,0.07,9.80,0.00,0.00,0.06,0.95,0.00,-0.31,-0.31,-0.01,-0.01,0.05,3.00,0.00,0.00

0:00:00.409139,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.419142,s,30,30,30,30,30,28,28,28,-0.03,0.07,9.80,0.00,-0.06,0.06,0.95,0.00,-0.31,-0.31,0.00,-0.03,0.02,3.00,0.00,0.00

0:00:00.424142,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.434145,s,31,30,30,30,30,29,29,29,-0.03,0.07,9.80,0.00,0.00,0.00,0.95,0.00,-0.31,-0.31,0.00,-0.01,0.02,3.00,0.00,0.00

0:00:00.439146,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.449148,s,30,30,30,29,30,28,28,28,-0.03,0.07,9.80,0.00,-0.06,0.00,0.95,0.00,-0.31,-0.31,0.00,0.00,0.04,3.00,0.00,0.00

0:00:00.454149,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.464152,s,31,30,30,30,30,28,29,29,-0.03,0.07,9.80,0.00,-0.06,0.00,0.95,0.00,-0.31,-0.31,-0.01,0.00,0.02,3.00,0.00,0.00

0:00:00.469153,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.479155,s,30,30,30,29,30,28,28,28,-0.03,0.07,9.80,0.00,0.00,0.06,0.95,0.00,-0.31,-0.31,0.02,0.00,0.03,3.00,0.00,0.00

0:00:00.484156,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.494158,s,31,31,30,30,31,29,29,28,-0.03,0.07,9.80,0.00,0.00,0.00,0.95,0.00,-0.31,-0.31,0.01,0.00,0.04,3.00,0.00,0.00

0:00:00.499160,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

0:00:00.509162,s,30,30,30,30,30,28,28,28,-0.03,0.07,9.80,0.00,0.00,0.06,0.95,0.00,-0.31,-0.31,0.01,-0.01,0.03,3.00,0.00,0.00

0:00:00.514163,t,7,26,8,3,43,31,45,30,1.81,-4.73,8.39,-10.19,-19.75,-7.00,0.96,-0.25,-0.04,-0.04,8.40,3.48,-6.99,0.00,0.00,0.00

