index,time,type,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,GyroCal,AccelCal,MagCal
2929,39.70584,t,511.0,511.0,408.0,78.0,371.0,287.0,457.0,511.0,9.66,-1.64,-0.35,34.06,4.62,1.31,0.25,0.62,0.65,0.65,0.25,0.48,-0.55,0.0,1.0,3.0
2930,39.718841,t,511.0,511.0,408.0,78.0,373.0,300.0,478.0,511.0,9.66,-1.62,-0.34,33.31,3.62,1.25,0.25,0.62,0.65,0.65,0.31,0.58,-0.57,0.0,1.0,3.0
2931,39.734844,t,511.0,511.0,403.0,79.0,360.0,283.0,438.0,511.0,9.66,-1.61,-0.34,32.13,5.25,1.44,0.25,0.62,0.65,0.65,0.24,0.48,-0.61,0.0,1.0,3.0
2932,39.748847,t,511.0,511.0,400.0,80.0,362.0,279.0,436.0,511.0,9.66,-1.6,-0.33,30.75,6.12,1.87,0.24,0.62,0.65,0.65,0.14,0.41,-0.55,0.0,1.0,3.0
2933,39.764881,t,511.0,511.0,398.0,79.0,356.0,275.0,415.0,511.0,9.66,-1.6,-0.32,29.56,6.37,2.62,0.24,0.62,0.65,0.65,0.19,0.39,-0.43,0.0,1.0,3.0
2934,39.778884,t,511.0,511.0,392.0,78.0,351.0,272.0,402.0,511.0,9.66,-1.6,-0.3,26.19,7.69,4.62,0.24,0.62,0.65,0.65,0.26,0.49,-0.47,0.0,1.0,3.0
2935,39.793939,t,511.0,511.0,380.0,78.0,339.0,269.0,391.0,511.0,9.66,-1.61,-0.28,25.0,5.75,6.62,0.24,0.63,0.66,0.66,0.24,0.48,-0.36,0.0,1.0,3.0
2936,39.808997,t,511.0,511.0,381.0,78.0,341.0,266.0,388.0,511.0,9.66,-1.61,-0.27,22.56,5.62,7.56,0.23,0.63,0.66,0.66,0.1,0.5,-0.59,0.0,1.0,3.0
2937,39.82403,t,511.0,511.0,376.0,77.0,330.0,262.0,381.0,511.0,9.66,-1.61,-0.27,20.94,6.94,8.44,0.23,0.63,0.66,0.66,-0.01,0.76,-0.44,0.0,1.0,3.0
2938,39.839071,t,511.0,511.0,368.0,78.0,328.0,268.0,391.0,511.0,9.66,-1.63,-0.24,16.94,7.94,10.31,0.23,0.63,0.66,0.66,-0.01,0.87,-0.38,0.0,1.0,3.0
2939,39.854206,t,511.0,511.0,358.0,78.0,315.0,255.0,370.0,502.0,9.65,-1.67,-0.21,9.06,7.37,11.56,0.23,0.63,0.66,0.66,0.27,0.66,-0.68,0.0,1.0,3.0
2940,39.869255,t,511.0,511.0,356.0,79.0,314.0,254.0,361.0,504.0,9.65,-1.68,-0.21,5.12,7.12,11.38,0.23,0.62,0.66,0.66,0.28,-0.2,-1.06,0.0,1.0,3.0
2941,39.884352,t,511.0,511.0,349.0,78.0,313.0,251.0,358.0,486.0,9.65,-1.7,-0.2,0.0,9.56,11.56,0.23,0.62,0.66,0.66,0.2,-0.61,-1.21,0.0,1.0,3.0
2942,39.899436,t,495.0,511.0,340.0,78.0,323.0,260.0,361.0,502.0,9.64,-1.76,-0.14,0.0,13.0,12.69,0.23,0.62,0.66,0.66,-0.24,-1.37,-1.31,0.0,1.0,3.0
2943,39.914536,t,482.0,511.0,319.0,78.0,307.0,245.0,336.0,466.0,9.64,-1.78,-0.12,1.06,13.13,14.81,0.23,0.62,0.67,0.67,-0.28,-1.85,-1.14,0.0,1.0,3.0
2944,39.929596,t,463.0,511.0,314.0,77.0,306.0,242.0,322.0,457.0,9.63,-1.81,-0.1,1.62,12.38,17.69,0.23,0.62,0.67,0.67,-0.1,-2.07,-1.16,0.0,1.0,3.0
2945,39.944648,t,457.0,511.0,300.0,77.0,302.0,240.0,316.0,447.0,9.63,-1.84,-0.08,2.5,12.69,20.75,0.22,0.62,0.67,0.67,0.21,-2.57,-1.04,0.0,1.0,3.0
2946,39.959703,t,445.0,471.0,285.0,77.0,304.0,237.0,306.0,429.0,9.61,-1.93,-0.02,1.94,17.37,28.56,0.22,0.62,0.67,0.67,0.17,-3.05,-1.05,0.0,1.0,3.0
2947,39.974759,t,434.0,404.0,249.0,78.0,301.0,229.0,283.0,399.0,9.58,-2.05,0.05,1.31,26.06,39.88,0.22,0.61,0.67,0.67,-0.24,-4.11,-1.48,0.0,1.0,3.0
2948,39.989764,t,423.0,387.0,230.0,79.0,301.0,230.0,272.0,383.0,9.57,-2.13,0.1,6.62,28.44,47.81,0.21,0.6,0.68,0.68,-0.73,-4.58,-1.74,0.0,1.0,3.0
2949,40.004767,t,411.0,369.0,216.0,79.0,298.0,227.0,247.0,370.0,9.52,-2.33,0.21,24.94,30.69,63.69,0.21,0.6,0.68,0.68,-1.38,-4.36,-1.78,0.0,1.0,3.0
2950,40.019009,t,405.0,364.0,199.0,79.0,297.0,222.0,240.0,356.0,9.49,-2.44,0.27,36.5,25.31,70.94,0.2,0.6,0.69,0.69,-0.91,-4.33,-1.82,0.0,1.0,3.0
2951,40.035062,t,399.0,362.0,188.0,76.0,290.0,218.0,230.0,338.0,9.45,-2.57,0.32,49.69,21.25,78.94,0.2,0.59,0.69,0.69,-0.94,-4.05,-1.75,0.0,1.0,3.0
2952,40.049188,t,387.0,349.0,176.0,78.0,297.0,224.0,221.0,340.0,9.36,-2.85,0.44,75.44,15.56,94.56,0.17,0.59,0.71,0.71,0.05,-2.3,-0.7,0.0,1.0,3.0
2953,40.064271,t,394.0,344.0,172.0,78.0,291.0,215.0,212.0,312.0,9.25,-3.17,0.59,94.37,13.81,105.37,0.16,0.58,0.71,0.71,-0.16,-1.23,-1.36,0.0,1.0,3.0
2954,40.079359,t,374.0,348.0,179.0,78.0,294.0,215.0,210.0,306.0,9.19,-3.33,0.66,103.31,5.69,107.44,0.15,0.58,0.72,0.72,-0.25,-0.83,-1.6,0.0,1.0,3.0
2955,40.094559,t,356.0,349.0,179.0,75.0,298.0,213.0,211.0,301.0,9.13,-3.48,0.72,107.69,-3.87,107.87,0.13,0.58,0.72,0.72,0.22,-1.23,-1.93,0.0,1.0,3.0
2956,40.109645,t,346.0,348.0,174.0,76.0,300.0,214.0,210.0,292.0,9.07,-3.94,0.81,113.94,-40.38,109.5,0.09,0.58,0.73,0.73,1.91,-3.82,-0.68,0.0,1.0,3.0
2957,40.12465,t,355.0,334.0,164.0,76.0,329.0,217.0,213.0,304.0,8.86,-4.1,0.8,102.69,-48.38,115.31,0.08,0.58,0.73,0.73,2.52,-4.03,-1.04,0.0,1.0,3.0
2958,40.139651,t,364.0,312.0,157.0,71.0,330.0,218.0,216.0,312.0,8.78,-4.28,0.8,96.19,-50.0,125.81,0.07,0.58,0.73,0.73,2.91,-3.75,-1.21,0.0,1.0,3.0
2959,40.154685,t,378.0,311.0,153.0,72.0,342.0,222.0,233.0,324.0,8.68,-4.48,0.8,89.5,-42.63,148.12,0.04,0.58,0.73,0.73,3.24,-1.77,-0.72,0.0,1.0,3.0
2960,40.16975,t,394.0,312.0,157.0,72.0,367.0,224.0,242.0,339.0,8.45,-4.9,0.82,89.69,-39.56,155.62,0.02,0.58,0.74,0.74,3.38,-0.85,-0.52,0.0,1.0,3.0
2961,40.184808,t,412.0,336.0,159.0,72.0,416.0,244.0,280.0,361.0,8.18,-5.32,0.87,82.81,-35.63,153.56,0.01,-0.57,-0.74,-0.74,2.42,0.31,0.33,0.0,1.0,3.0
2962,40.198899,t,440.0,362.0,167.0,72.0,420.0,240.0,276.0,367.0,8.05,-5.51,0.9,76.62,-30.31,146.56,0.02,-0.57,-0.74,-0.74,2.65,0.39,0.64,0.0,1.0,3.0
2963,40.214958,t,452.0,390.0,172.0,72.0,447.0,250.0,290.0,368.0,7.92,-5.69,0.93,67.19,-27.87,138.31,0.05,-0.56,-0.74,-0.74,1.31,-1.39,0.81,0.0,1.0,3.0
2964,40.228961,t,463.0,416.0,175.0,72.0,442.0,247.0,294.0,371.0,7.66,-6.19,1.05,65.62,-19.25,133.81,0.08,-0.56,-0.74,-0.74,0.53,-2.2,0.79,0.0,1.0,3.0
2965,40.244444,t,478.0,445.0,180.0,70.0,503.0,267.0,326.0,385.0,7.38,-6.36,1.09,62.88,-23.44,137.56,0.09,-0.55,-0.74,-0.74,0.69,-1.8,0.6,0.0,1.0,3.0
2966,40.259506,t,473.0,455.0,176.0,70.0,511.0,275.0,336.0,394.0,7.23,-6.52,1.12,59.38,-28.37,140.5,0.11,-0.55,-0.74,-0.74,0.35,-0.04,-0.78,0.0,1.0,3.0
2967,40.274564,t,489.0,458.0,172.0,69.0,505.0,267.0,335.0,392.0,6.92,-6.84,1.14,46.31,-42.25,137.94,0.13,-0.54,-0.74,-0.74,0.05,0.27,-1.07,0.0,1.0,3.0
2968,40.289622,t,495.0,462.0,166.0,69.0,498.0,284.0,365.0,427.0,6.63,-7.14,1.09,29.19,-56.19,129.12,0.15,-0.54,-0.73,-0.73,0.29,1.34,-1.33,0.0,1.0,3.0
2969,40.306655,t,511.0,469.0,155.0,69.0,511.0,280.0,368.0,416.0,6.48,-7.27,1.06,23.37,-57.81,124.44,0.16,-0.54,-0.73,-0.73,0.21,1.75,-0.81,0.0,1.0,3.0
2970,40.319688,t,511.0,474.0,154.0,69.0,511.0,288.0,376.0,422.0,6.34,-7.4,1.01,14.63,-61.69,114.5,0.18,-0.54,-0.72,-0.72,0.32,1.52,0.07,0.0,1.0,3.0
2971,40.334719,t,511.0,486.0,150.0,68.0,511.0,292.0,374.0,442.0,6.07,-7.64,0.92,12.88,-59.25,109.37,0.19,-0.54,-0.71,-0.71,0.07,1.36,0.23,0.0,1.0,3.0
2972,40.349773,t,511.0,488.0,150.0,69.0,511.0,299.0,377.0,427.0,5.94,-7.74,0.88,10.88,-57.31,104.56,0.2,-0.54,-0.71,-0.71,-0.05,1.15,0.12,0.0,1.0,3.0
