Sample Rate = 140.98684210526315
time,type,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,GyroCal,AccelCal,MagCal
0:00:00.097034,t,488,489,352,94,300,259,371,495,9.73,-1.12,0.23,-0.31,-0.19,0.00,0.45,0.49,0.56,0.56,0.04,-0.03,-0.03,0.00,1.00,3.00

0:00:00.100034,s,30,28,28,26,26,26,26,26,-1.14,-0.08,-9.73,0.00,-0.13,0.13,0.05,-0.46,0.02,0.02,0.00,0.11,0.21,3.00,3.00,3.00

0:00:00.102035,t,474,474,346,92,295,255,371,495,9.73,-1.12,0.23,-0.81,-0.13,-0.19,0.45,0.49,0.56,0.56,0.04,-0.05,-0.03,0.00,1.00,3.00

0:00:00.105036,s,30,28,27,26,26,26,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.01,-0.05,0.30,3.00,3.00,3.00

0:00:00.108036,t,473,474,345,93,295,254,371,495,9.73,-1.12,0.23,0.00,-0.31,-0.06,0.45,0.49,0.56,0.56,0.04,-0.05,-0.05,0.00,1.00,3.00

0:00:00.110037,s,29,29,27,27,26,25,25,26,-1.14,-0.08,-9.73,0.00,-0.13,-0.06,0.05,-0.46,0.02,0.02,0.15,0.08,0.18,3.00,3.00,3.00

0:00:00.113037,t,474,475,346,92,296,254,370,496,9.73,-1.12,0.23,0.00,-0.25,0.00,0.45,0.49,0.56,0.56,0.06,-0.10,-0.08,0.00,1.00,3.00

0:00:00.116038,s,30,29,28,26,26,26,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.14,0.00,0.17,3.00,3.00,3.00

0:00:00.118039,t,476,477,347,92,296,254,372,497,9.73,-1.12,0.23,0.50,-0.31,0.00,0.45,0.49,0.56,0.56,0.05,-0.08,-0.08,0.00,1.00,3.00

0:00:00.121039,s,30,28,28,26,26,26,26,26,-1.14,-0.08,-9.73,-0.06,0.00,0.06,0.05,-0.46,0.02,0.02,0.05,-0.09,0.21,3.00,3.00,3.00

