index,time,type,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,GyroCal,AccelCal,MagCal
4383,61.514763,t,511.0,511.0,464.0,72.0,388.0,280.0,440.0,490.0,9.67,-1.55,-0.39,-1.69,-2.12,7.5,0.69,-0.2,-0.08,-0.08,-0.33,-0.46,-1.16,0.0,1.0,3.0
4384,61.529796,t,511.0,511.0,470.0,71.0,386.0,279.0,437.0,496.0,9.66,-1.58,-0.4,-5.75,-0.88,9.25,0.69,-0.21,-0.09,-0.09,-0.5,-0.25,-0.49,0.0,1.0,3.0
4385,61.544825,t,511.0,511.0,469.0,74.0,390.0,276.0,440.0,498.0,9.66,-1.6,-0.4,-18.12,2.69,13.31,0.69,-0.22,-0.09,-0.09,-0.55,0.03,-1.07,0.0,1.0,3.0
4386,61.559877,t,511.0,511.0,461.0,70.0,392.0,272.0,439.0,498.0,9.65,-1.64,-0.4,-24.06,7.06,15.25,0.69,-0.22,-0.09,-0.09,-0.73,-0.13,-1.32,0.0,1.0,3.0
4387,61.574918,t,511.0,511.0,463.0,69.0,397.0,274.0,432.0,495.0,9.65,-1.69,-0.38,-22.44,9.06,15.75,0.68,-0.23,-0.11,-0.11,-0.85,-0.3,-1.36,0.0,1.0,3.0
4388,61.58899,t,511.0,511.0,457.0,69.0,401.0,266.0,434.0,501.0,9.64,-1.71,-0.37,-19.87,10.44,15.44,0.69,-0.23,-0.11,-0.11,-1.42,-0.66,-0.23,0.0,1.0,3.0
4389,61.605054,t,511.0,511.0,452.0,69.0,407.0,261.0,429.0,488.0,9.64,-1.74,-0.36,-19.0,9.75,14.69,0.69,-0.24,-0.11,-0.11,-1.59,-0.96,-0.13,0.0,1.0,3.0
4390,61.619105,t,511.0,511.0,442.0,69.0,407.0,253.0,427.0,476.0,9.63,-1.81,-0.33,-8.5,8.25,17.12,0.69,-0.25,-0.12,-0.12,-2.44,-1.61,-0.8,0.0,1.0,3.0
4391,61.634249,t,511.0,511.0,430.0,73.0,412.0,247.0,425.0,484.0,9.62,-1.84,-0.33,-8.31,4.31,19.44,0.69,-0.25,-0.12,-0.12,-2.51,-1.57,-0.2,0.0,1.0,3.0
4392,61.649364,t,511.0,511.0,419.0,69.0,410.0,242.0,416.0,492.0,9.61,-1.88,-0.33,-10.88,0.56,20.94,0.69,-0.26,-0.11,-0.11,-2.47,-1.83,-0.04,0.0,1.0,3.0
4393,61.664481,t,511.0,511.0,417.0,68.0,412.0,241.0,407.0,498.0,9.6,-1.96,-0.34,-1.62,-1.94,24.56,0.69,-0.26,-0.11,-0.11,-1.9,-1.77,-0.13,0.0,1.0,3.0
4394,61.67955,t,511.0,511.0,408.0,68.0,410.0,236.0,402.0,477.0,9.59,-2.0,-0.34,2.25,0.88,26.81,0.68,-0.27,-0.12,-0.12,-1.49,-1.68,-0.15,0.0,1.0,3.0
4395,61.694671,t,511.0,511.0,397.0,72.0,415.0,232.0,393.0,457.0,9.57,-2.1,-0.28,12.5,20.87,30.44,0.69,-0.27,-0.12,-0.12,-1.13,-0.96,-0.77,0.0,1.0,3.0
4396,61.7097,t,511.0,511.0,386.0,76.0,421.0,234.0,385.0,454.0,9.55,-2.2,-0.16,1.31,35.63,31.75,0.69,-0.27,-0.11,-0.11,-2.06,0.07,-0.56,0.0,1.0,3.0
4397,61.724728999999996,t,511.0,511.0,378.0,78.0,419.0,228.0,377.0,454.0,9.54,-2.26,-0.11,-1.06,35.69,32.06,0.69,-0.28,-0.12,-0.12,-2.48,0.03,-1.29,0.0,1.0,3.0
4398,61.739761,t,511.0,511.0,367.0,78.0,416.0,230.0,377.0,455.0,9.52,-2.31,-0.05,-1.06,35.69,32.06,0.69,-0.28,-0.12,-0.12,-3.01,-0.4,-1.63,0.0,1.0,3.0
4399,61.754765,t,511.0,511.0,355.0,80.0,427.0,234.0,365.0,458.0,9.51,-2.36,-0.01,-1.94,22.44,29.56,0.7,-0.29,-0.12,-0.12,-2.88,-0.54,-0.73,0.0,1.0,3.0
4400,61.769826,t,511.0,511.0,333.0,80.0,434.0,238.0,345.0,446.0,9.48,-2.5,0.06,-16.56,18.56,29.25,0.7,-0.3,-0.12,-0.12,-1.83,-1.3,-1.27,0.0,1.0,3.0
4401,61.784889,t,511.0,511.0,328.0,79.0,435.0,236.0,342.0,444.0,9.46,-2.55,0.08,-16.56,18.56,29.25,0.7,-0.3,-0.12,-0.12,-1.83,-1.04,-1.41,0.0,1.0,3.0
