0,1,2
"[17.09450694322586, 17.194543549508758, 14.346160252888998]","[869.1957181930542, 906.9308462431936, 615.3840501573351]","[0.8830364782446888, 0.9245463032429995, 0.9136383732603044]"
"[48.804935531765366, 36.605206096873566, 38.764915858998016]","[8655.41456820282, 4906.528779871323, 6009.326398064109]","[0.7305422046458188, 0.8048015289945437, 0.7797029139358749]"
"[16.94869374609613, 20.941068172454834, 11.758846340179444]","[946.0950142996652, 1576.261719923753, 413.77666931152345]","[0.8494780096597756, 0.724145889245805, 0.8413370711616213]"
"[31.928513298686752, 40.49536887804667]","[3326.1134205353565, 5202.3628336588545]","[0.8759659372573498, 0.8303759033108543]"
[41.52067817501537],[6564.421841257315],[0.7327557140566474]
